simb,n_simb,ucar_id,descr_ucar,tipo,cap_uso,ucar_ip,act
TA30,1,2222,Consociacion Tres Arroyos 30,Consociacion,IIIes,51,0
Ta31,1,2223,Complejo Tandil 31,Complejo,IIIes,59,0
TA31,1,2224,Asociacion Tres Arroyos 31,Asociacion,NA,0,0
Ta32,1,2225,Complejo Tandil 32,Complejo,IVws,50,0
Ta33,1,2226,Complejo Tandil 33,Complejo,IIIws,60,0
TA34,1,2227,Complejo Tres Arroyos 34,Complejo,IIIes,50,0
TA35,1,2228,Complejo Tres Arroyos 35,Complejo,IVs,35,0
TA36,1,2229,Complejo Tres Arroyos 36,Complejo,IVs,36,0
TA37,1,2230,Complejo Tres Arroyos 37,Complejo,IIIs,62,0
TA38,1,2231,Complejo Tres Arroyos 38,Complejo,IVws,31,0
TA39,1,2232,Consociacion Tres Arroyos 39,Consociacion,IIIes,39,0
Ta4,1,2233,Complejo Tandil 4,Complejo,IIIws,58,0
TA4,1,2234,Complejo Tres Arroyos 4,Complejo,IVws,25,0
TA40,1,2235,Consociacion Tres Arroyos 40,Consociacion,IIIes,40,0
